,Year,Displacement (ccm),Power (hp),Torque (Nm),Bore (mm),Stroke (mm),Fuel capacity (lts),Dry weight (kg),Wheelbase (mm),Seat height (mm)
1385,-1.5483697108922982,0.3000032276173927,0.9521821237309012,0.4431204975102708,0.84155826959584,-0.07209934229826515,0.4288893999031921,-0.22466977535606814,-0.5392209192418558,0.1335460603726598
1399,1.0265279580533395,-1.3449520746479364,-1.2280417155909953,-1.3523980597646417,-1.3211590746932815,-1.240798107107813,-0.22777803033183933,-1.0241886624080003,-1.0596261533161282,0.08506206272024469
1410,1.0265279580533395,0.4495446187324225,1.8053131912916431,0.8416817754847242,-0.045710384471491915,-0.9386467191326616,0.5226990327939108,-0.22466977535606814,-0.25900271627878596,0.15778805919886735
1412,0.11774054548429082,0.4495446187324225,1.7673962549556101,0.8217537115860016,-0.21207325710911665,-0.9386467191326616,0.5226990327939108,-0.26750114430527877,-0.2990338881306531,0.15778805919886735
1413,0.2692051142457989,0.4495446187324225,1.8053131912916431,0.8217537115860016,-0.045710384471491915,-0.9386467191326616,0.5226990327939108,-0.23894689833913835,-0.2990338881306531,0.15778805919886735
1414,0.420669683007307,0.4495446187324225,1.8053131912916431,0.8416817754847242,-0.045710384471491915,-0.9386467191326616,0.5226990327939108,-0.23894689833913835,-0.2990338881306531,0.15778805919886735
1419,0.11774054548429082,0.4495446187324225,1.7673962549556101,0.8217537115860016,-0.21207325710911665,-0.9386467191326616,0.5226990327939108,-0.26750114430527877,-0.2990338881306531,0.15778805919886735
1420,0.2692051142457989,0.4495446187324225,1.8053131912916431,0.8217537115860016,-0.045710384471491915,-0.9386467191326616,0.5226990327939108,-0.23894689833913835,-0.2990338881306531,0.15778805919886735
1422,0.5721342517688152,0.4495446187324225,1.8053131912916431,0.8217537115860016,-0.045710384471491915,-0.9386467191326616,0.5226990327939108,-0.23894689833913835,-0.2990338881306531,0.15778805919886735
1424,0.8750633892918314,0.4495446187324225,1.7673962549556101,0.8416817754847242,-0.045710384471491915,-0.9386467191326616,0.5226990327939108,-0.22466977535606814,-0.25900271627878596,0.15778805919886735
1427,-0.3366531608002335,0.30263997758667527,1.5588531051074288,0.6224730725987749,-0.21207325710911665,-0.9443476887170982,0.24127013412175452,-0.25322402132220856,-0.33906505998252023,0.23051405567749003
1428,-0.1851885920387254,0.30377001328779646,1.6157285096114784,0.6224730725987749,-0.21207325710911665,-0.9443476887170982,0.24127013412175452,-0.25322402132220856,-0.33906505998252023,0.23051405567749003
1429,0.11774054548429082,0.30377001328779646,1.7105208504515608,0.6424011364974975,-0.21207325710911665,-0.9386467191326616,0.5226990327939108,-0.25322402132220856,-0.2990338881306531,0.20627205685128247
1430,-0.3366531608002335,0.30377001328779646,1.6536454459475114,0.6424011364974975,-0.21207325710911665,-0.9386467191326616,0.24127013412175452,-0.25322402132220856,-0.2990338881306531,0.20627205685128247
1433,-0.4881177295617416,0.30263997758667527,1.5588531051074288,0.6224730725987749,-0.21207325710911665,-0.9443476887170982,0.24127013412175452,-0.31033251325448946,-0.33906505998252023,0.23051405567749003
1897,0.11774054548429082,-1.1099046488147408,-1.0005400975747973,-1.1172469057597143,-1.3766133655724897,-1.1381806545879503,-0.3215876632225581,-0.4702362906648757,-0.37909623183438734,-0.14766112601134787
1898,0.2692051142457989,-1.1099046488147408,-1.0005400975747973,-1.1172469057597143,-1.3766133655724897,-1.1381806545879503,-0.3215876632225581,-0.4702362906648757,-0.37909623183438734,-0.14766112601134787
1900,-0.03372402327721729,-0.36031430040438933,-0.01469975283793991,-0.23642648143617215,-0.017983239031887796,-0.38565266944229015,0.24689871209519787,0.048023273620572925,-0.37909623183438734,0.18687845779031642
1901,0.11774054548429082,-0.36031430040438933,-0.01469975283793991,-0.23642648143617215,-0.017983239031887796,-0.38565266944229015,0.24689871209519787,0.048023273620572925,-0.37909623183438734,0.18687845779031642
1903,-0.03372402327721729,-1.1099046488147408,-1.0384570339108303,-1.1311965504888202,-1.3766133655724897,-1.1381806545879503,-0.3215876632225581,-0.48308570134963896,-0.37909623183438734,-0.40462631356914797
