,n_cylinders,Engine stroke_ four-stroke,Fuel system_reduced_0,Fuel control_Other,Cooling system_Liquid,Cooling system_Air,Cooling system_Oil & air,Transmission type_Chain,Transmission type_Belt,Transmission type_Shaft drive,n_disks_front,abs,has_front_disk,n_pistons_front,n_disks_rear,has_rear_disk,n_pistons_rear,Category,Rear tire_width,Rear tire_height,Rear tire_diameter,Front tire_width,Front tire_height,Front tire_diameter,reartyre_speed,fronttyre_speed,Rear tire_construction_B,Front tire_construction_B,Rear tire_label_format_I,Rear tire_label_format_N,Rear tire_label_format_A,Front tire_label_format_I,Front tire_label_format_N,Front tire_label_format_A
15127,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,0.0,1,1.0,1.0,0.0,1.0,Touring,130.0,104.0,431.79999999999995,100.0,90.0,482.59999999999997,167.05882352941177,167.05882352941177,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15128,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,0.0,1,1.0,1.0,0.0,1.0,Super motard,130.0,104.0,431.79999999999995,100.0,90.0,482.59999999999997,167.05882352941177,167.05882352941177,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15129,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1.0,1,3.0,1.0,0.0,1.0,Super motard,130.0,104.0,431.79999999999995,100.0,90.0,482.59999999999997,167.05882352941177,167.05882352941177,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15130,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1.0,1,1.0,1.0,0.0,1.0,Offroad,130.0,104.0,431.79999999999995,100.0,90.0,482.59999999999997,167.05882352941177,167.05882352941177,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15143,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Offroad,110.0,99.0,431.79999999999995,76.19999999999999,63.67651260183442,533.4,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
15144,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Offroad,104.13999999999999,75.71896969580216,457.2,69.85,58.370136551681554,533.4,167.05882352941177,167.05882352941177,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
15201,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Scooter,63.5,48.88867810432394,431.79999999999995,63.5,51.44105328572737,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
15204,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Scooter,63.5,48.88867810432394,431.79999999999995,63.5,51.44105328572737,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
15206,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Scooter,63.5,48.88867810432394,431.79999999999995,63.5,51.44105328572737,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
15207,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Scooter,63.5,48.88867810432394,431.79999999999995,63.5,51.44105328572737,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
15236,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,1.0,Scooter,130.0,117.0,254.0,120.0,108.0,254.0,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
15237,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,1.0,Scooter,130.0,117.0,254.0,120.0,108.0,254.0,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
15238,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,1.0,Scooter,130.0,117.0,254.0,120.0,108.0,254.0,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
15239,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,1.0,Scooter,130.0,117.0,254.0,120.0,108.0,254.0,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
15241,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Scooter,110.0,99.0,304.79999999999995,100.0,90.0,304.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
15513,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,1.0,1.0,0.0,1.0,Offroad,140.0,126.0,457.2,90.0,81.0,533.4,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
15640,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,4.0,1.0,0.0,2.0,Super motard,180.0,99.0,431.79999999999995,120.0,84.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
